MSN,YYYYMM,Description,Unit,Category,Pred
CLEIEUS,197301,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,72.076
CLEIEUS,197302,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,64.442
CLEIEUS,197303,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,64.084
CLEIEUS,197304,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,60.842
CLEIEUS,197305,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,61.798
CLEIEUS,197306,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,66.538
CLEIEUS,197307,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,72.626
CLEIEUS,197308,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,75.181
CLEIEUS,197309,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,68.397
CLEIEUS,197310,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,67.668
CLEIEUS,197311,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,67.021
CLEIEUS,197312,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,71.118
CLEIEUS,197313,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,811.791
CLEIEUS,197401,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,70.55
CLEIEUS,197402,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,62.929
CLEIEUS,197403,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,64.519
CLEIEUS,197404,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,60.544
CLEIEUS,197405,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,64.687
CLEIEUS,197406,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,64.736
CLEIEUS,197407,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,73.698
CLEIEUS,197408,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,72.559
CLEIEUS,197409,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,63.221
CLEIEUS,197410,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,65.418
CLEIEUS,197411,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,65.593
CLEIEUS,197412,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,71.677
CLEIEUS,197413,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,800.131
CLEIEUS,197501,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,72.708
CLEIEUS,197502,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,65.117
